"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
30.201694915254226,1019.2745762711867,81.61016949152543,1.5593396610169497,198.74576271186442,0.0,0.0,0.0,696.390508474576,1,18-06-2019
29.97833333333334,1018.3216666666664,81.86666666666666,1.4312761666666667,202.06666666666666,0.0,0.0,0.0,696.1970666666664,2,18-06-2019
29.73999999999999,1017.8316666666666,82.58333333333333,1.4774701666666663,198.9,0.0,0.0,0.0,696.1970666666664,3,18-06-2019
29.40833333333334,1017.6566666666664,84.01666666666667,1.071407833333334,209.36666666666667,0.0,0.0,0.0,696.1970666666664,4,18-06-2019
29.153333333333332,1017.8933333333337,84.2,1.1146213333333335,211.85,0.0,0.0,0.0,696.1970666666664,5,18-06-2019
29.194915254237266,1018.6372881355923,81.37288135593221,1.4085583050847454,224.20338983050848,0.8062711864406781,0.0,0.0,696.390508474576,6,18-06-2019
29.203389830508495,1019.1508474576277,81.0677966101695,1.282022881355932,228.27118644067798,32.52644067796611,0.0,0.0,696.390508474576,7,18-06-2019
30.50508474576271,1019.7152542372876,75.2542372881356,1.2464103389830508,239.54237288135593,158.085593220339,1.0847457627118644,0.0,696.390508474576,8,18-06-2019
32.281666666666666,1019.998333333334,66.83333333333333,1.6972654999999999,258.55,341.2018333333333,2.8833333333333333,0.0,696.1970666666664,9,18-06-2019
34.08305084745764,1020.3661016949161,58.66101694915254,2.043508474576271,262.50847457627117,611.034745762712,5.338983050847458,0.0,696.390508474576,10,18-06-2019
35.78448275862069,1020.199999999999,51.206896551724135,2.400917758620689,259.1896551724138,835.6600000000001,7.655172413793103,0.0,696.590620689655,11,18-06-2019
37.005084745762694,1019.2830508474581,45.220338983050844,2.313246440677965,256.93220338983053,672.8447457627117,6.135593220338983,0.0,696.390508474576,12,18-06-2019
37.1084745762712,1018.4728813559327,44.67796610169491,2.2768777966101705,247.45762711864407,439.95186440677975,3.6440677966101696,0.0,696.390508474576,13,18-06-2019
37.511666666666684,1017.145000000001,42.0,2.0474471666666663,243.11666666666667,334.22183333333334,2.7666666666666666,0.0,696.1970666666664,14,18-06-2019
37.54000000000001,1016.4483333333322,41.13333333333333,2.267988,243.23333333333332,298.0658333333333,2.033333333333333,0.0,696.1970666666664,15,18-06-2019
38.1457627118644,1016.1423728813562,40.13559322033898,1.8048327118644067,219.61016949152543,342.67067796610183,2.7966101694915255,0.0,696.390508474576,16,18-06-2019
35.81379310344828,1016.429310344828,55.206896551724135,2.1442550000000002,173.8448275862069,174.97827586206895,1.1206896551724137,0.0,696.590620689655,17,18-06-2019
32.61724137931034,1016.8862068965509,73.48275862068965,3.429883793103448,157.25862068965517,101.53931034482761,0.5517241379310345,0.0,696.590620689655,18,18-06-2019
31.63050847457625,1016.9898305084755,77.45762711864407,3.039120508474576,172.15254237288136,13.045084745762715,0.0,0.0,696.390508474576,19,18-06-2019
31.223333333333297,1017.6083333333338,80.13333333333334,3.197087999999999,172.81666666666666,0.0,0.0,0.0,696.1970666666664,20,18-06-2019
31.109999999999967,1018.1066666666671,81.95,2.8215735,172.91666666666666,0.0,0.0,0.0,696.1970666666664,21,18-06-2019
31.198275862069,1018.93448275862,82.15517241379311,2.0317246551724137,172.17241379310346,0.0,0.0,0.0,696.590620689655,22,18-06-2019
31.41833333333332,1018.5649999999994,78.05,1.9528228333333335,185.9,0.0,0.0,0.0,696.1970666666664,23,18-06-2019
31.531666666666677,1018.4699999999989,72.08333333333333,2.245635666666667,194.43333333333334,0.0,0.0,0.0,696.1970666666664,0,19-06-2019
30.97894736842106,1019.0070175438605,74.35087719298245,1.7936528070175437,204.19298245614036,0.0,0.0,0.0,696.7977543859647,1,19-06-2019
30.443396226415082,1019.6245283018861,77.20754716981132,1.8067201886792452,209.43396226415095,0.0,0.0,0.0,697.7044528301884,2,19-06-2019
29.919999999999987,1020.3,77.2,1.5145748000000003,223.42,0.0,0.0,0.0,698.4796799999998,3,19-06-2019
29.46000000000003,1016.6366666666664,74.76666666666667,1.4372363333333333,222.71666666666667,0.0,0.0,0.0,696.1970666666664,4,19-06-2019
29.215000000000014,1016.8600000000007,73.88333333333334,1.4469224999999997,236.8,0.0,0.0,0.0,696.1970666666664,5,19-06-2019
29.177966101694906,1017.4271186440678,73.30508474576271,1.5396388135593218,235.8135593220339,0.990677966101695,0.0,0.0,696.390508474576,6,19-06-2019
29.344067796610165,1017.7203389830499,72.42372881355932,1.3759772881355932,238.72881355932202,51.74406779661018,0.0,0.0,696.390508474576,7,19-06-2019
30.993103448275857,1018.1293103448274,64.91379310344827,1.9346086206896553,250.13793103448276,183.42706896551724,1.3448275862068966,0.0,696.590620689655,8,19-06-2019
32.9280701754386,1018.9596491228075,57.68421052631579,2.4846063157894744,269.56140350877195,467.26421052631576,4.105263157894737,0.0,696.7977543859647,9,19-06-2019
34.910000000000004,1018.0916666666672,49.86666666666667,2.8446705000000003,277.35,724.6481666666664,6.733333333333333,0.0,696.1970666666664,10,19-06-2019
36.43571428571427,1018.8107142857134,45.785714285714285,2.6279621428571427,259.9642857142857,762.2192857142855,7.017857142857143,0.0,697.0122857142854,11,19-06-2019
37.93207547169812,1019.2849056603781,41.18867924528302,2.1770041509433957,263.60377358490564,661.0249056603775,5.943396226415095,0.0,697.7044528301884,12,19-06-2019
38.522413793103446,1017.1689655172408,40.224137931034484,1.5199387931034487,209.89655172413794,613.5986206896551,5.482758620689655,0.0,696.590620689655,13,19-06-2019
