"temperature
(°C degrees)","pressure
(hpa)","humidity
(%)","wind_speed
(km/h)","wind_direction
(degrees from North)",solarradiation (W/m2),uv index,"rainfall
(mm)","total_rainfall
(mm)"
36.5,1001.7,44,2.2799099999999997,207,421.57,4,0.0,684.784,20-06-2019,12:00
38.1,1000.7,40,3.39751,340,769.49,7,0.0,684.784,20-06-2019,13:00
38.0,999.7,39,2.4140200000000003,324,754.33,7,0.0,684.784,20-06-2019,14:00
39.1,998.6,38,3.08458,244,589.91,5,0.0,684.784,20-06-2019,15:00
38.7,997.6,38,3.3081,244,461.94,4,0.0,684.784,20-06-2019,16:00
34.7,997.6,58,3.08458,138,89.31,0,0.0,684.784,20-06-2019,17:00
32.6,999.0,65,0.40234000000000003,118,25.94,0,0.0,684.784,20-06-2019,18:00
31.6,999.0,72,1.1176,98,0.0,0,0.0,684.784,20-06-2019,19:00
30.7,1000.3,79,1.92228,147,0.0,0,0.0,684.784,20-06-2019,20:00
30.1,1001.0,83,0.40234000000000003,121,0.0,0,0.0,684.784,20-06-2019,21:00
30.1,1001.0,84,1.51994,220,0.0,0,0.0,684.784,20-06-2019,22:00
31.2,1001.4,72,2.1905,207,0.0,0,0.0,684.784,20-06-2019,23:00
30.7,1001.4,73,2.1905,217,0.0,0,0.0,684.784,21-06-2019,00:00
30.4,1000.7,73,0.8940799999999999,204,0.0,0,0.0,684.784,21-06-2019,01:00
29.8,1000.0,74,1.1176,240,0.0,0,0.0,684.784,21-06-2019,02:00
29.6,1000.0,69,1.92228,237,0.0,0,0.0,684.784,21-06-2019,03:00
29.4,1000.0,69,0.80467,212,0.0,0,0.0,684.784,21-06-2019,04:00
29.3,999.7,70,2.4140200000000003,277,0.0,0,0.0,684.784,21-06-2019,05:00
28.9,1000.3,69,0.49173999999999995,213,13.33,0,0.0,684.784,21-06-2019,06:00
30.0,1001.0,65,0.71527,245,83.19,0,0.0,684.784,21-06-2019,07:00
30.9,1002.0,61,1.6987599999999998,307,189.49,1,0.0,684.784,21-06-2019,08:00
32.7,1002.4,54,4.69393,266,413.37,4,0.0,684.784,21-06-2019,09:00
33.1,1003.0,52,1.7881599999999997,313,393.43,3,0.0,684.784,21-06-2019,10:00
34.1,1002.4,48,2.68225,272,446.28,4,0.0,684.784,21-06-2019,11:00
34.6,1001.7,45,3.71044,304,493.13,4,0.0,684.784,21-06-2019,12:00
35.1,1000.7,44,2.90577,359,475.4,4,0.0,684.784,21-06-2019,13:00
34.9,1000.3,45,0.49173999999999995,223,293.61,2,0.0,684.784,21-06-2019,14:00
35.1,999.7,44,2.4140200000000003,230,299.72,2,0.0,684.784,21-06-2019,15:00
35.6,999.3,44,0.98349,253,217.27,2,0.0,684.784,21-06-2019,16:00
32.7,999.3,65,2.10109,97,116.22,1,0.0,684.784,21-06-2019,17:00
31.4,999.0,68,2.1905,194,29.48,0,0.0,684.784,21-06-2019,18:00
30.4,999.7,77,0.8940799999999999,121,0.0,0,0.0,684.784,21-06-2019,19:00
29.9,1000.3,86,1.1176,161,0.0,0,0.0,684.784,21-06-2019,20:00
30.1,1000.7,79,1.51994,144,0.0,0,0.0,684.784,21-06-2019,21:00
30.0,1001.0,82,0.80467,165,0.0,0,0.0,684.784,21-06-2019,22:00
29.7,1001.0,86,0.98349,178,0.0,0,0.0,684.784,21-06-2019,23:00
29.8,1000.3,84,0.98349,169,0.0,0,0.0,684.784,22-06-2019,00:00
30.3,999.7,72,1.1176,199,0.0,0,0.0,684.784,22-06-2019,01:00
29.9,999.7,70,2.1905,277,0.0,0,0.0,684.784,22-06-2019,02:00
29.7,999.3,69,2.2799099999999997,246,0.0,0,0.0,684.784,22-06-2019,03:00
29.6,1000.0,69,2.01168,221,0.0,0,0.0,684.784,22-06-2019,04:00
29.3,1000.7,69,1.38583,223,0.0,0,0.0,684.784,22-06-2019,05:00
29.2,1001.0,68,1.7881599999999997,263,8.19,0,0.0,684.784,22-06-2019,06:00
29.5,1001.0,68,0.80467,232,128.33,1,0.0,684.784,22-06-2019,07:00
30.6,1001.0,65,2.1905,284,183.02,1,0.0,684.784,22-06-2019,08:00
32.9,1001.4,55,2.81636,295,643.24,6,0.0,684.784,22-06-2019,09:00
34.1,1001.7,50,5.09627,281,756.89,7,0.0,684.784,22-06-2019,10:00
34.6,1001.0,49,1.2070100000000001,219,507.45,4,0.0,684.784,22-06-2019,11:00
36.7,1000.0,43,5.4986,233,715.3,6,0.0,684.784,22-06-2019,12:00
37.4,999.7,39,3.21869,225,777.32,7,0.0,684.784,22-06-2019,13:00
37.8,998.3,38,3.39751,292,779.89,7,0.0,684.784,22-06-2019,14:00
39.2,997.3,35,4.51511,256,625.5,6,0.0,684.784,22-06-2019,15:00
38.5,997.3,36,3.79985,243,202.95,2,0.0,684.784,22-06-2019,16:00
34.6,997.0,58,2.10109,196,108.39,1,0.0,684.784,22-06-2019,17:00
36.4,997.0,42,1.6987599999999998,199,33.76,0,0.0,684.784,22-06-2019,18:00
35.6,998.0,42,3.79985,220,0.0,0,0.0,684.784,22-06-2019,19:00
32.5,999.7,61,1.6987599999999998,283,0.0,0,0.0,684.784,22-06-2019,20:00
