date,time in hour (23 hr integer),Number of readings per hour,Number of entries missing
26-06-2019,22,56,4
26-06-2019,23,56,4
27-06-2019,0,57,3
27-06-2019,1,49,11
27-06-2019,2,55,5
27-06-2019,3,52,8
27-06-2019,4,53,7
27-06-2019,5,57,3
27-06-2019,6,57,3
27-06-2019,7,56,4
27-06-2019,8,58,2
27-06-2019,9,54,6
27-06-2019,10,59,1
27-06-2019,11,54,6
27-06-2019,12,55,5
27-06-2019,13,52,8
27-06-2019,14,55,5
27-06-2019,15,54,6
27-06-2019,16,55,5
27-06-2019,17,54,6
27-06-2019,18,56,4
27-06-2019,19,47,13
27-06-2019,20,40,20
27-06-2019,21,39,21
27-06-2019,22,40,20
27-06-2019,23,40,20
28-06-2019,0,39,21
28-06-2019,1,50,10
28-06-2019,2,56,4
28-06-2019,3,46,14
28-06-2019,4,47,13
28-06-2019,5,51,9
28-06-2019,6,53,7
28-06-2019,7,53,7
28-06-2019,8,53,7
28-06-2019,9,50,10
28-06-2019,10,51,9
28-06-2019,11,53,7
28-06-2019,12,51,9
28-06-2019,13,42,18
28-06-2019,14,51,9
28-06-2019,15,45,15
28-06-2019,16,50,10
28-06-2019,17,44,16
28-06-2019,18,53,7
28-06-2019,19,55,5
28-06-2019,20,53,7
28-06-2019,21,55,5
28-06-2019,22,54,6
28-06-2019,23,49,11
29-06-2019,0,53,7
29-06-2019,1,45,15
29-06-2019,2,36,24
29-06-2019,3,41,19
29-06-2019,4,41,19
29-06-2019,5,43,17
29-06-2019,6,39,21
29-06-2019,7,39,21
29-06-2019,8,41,19
29-06-2019,9,41,19
29-06-2019,10,46,14
29-06-2019,11,41,19
29-06-2019,12,38,22
29-06-2019,13,41,19
29-06-2019,14,46,14
29-06-2019,15,42,18
29-06-2019,16,41,19
29-06-2019,17,43,17
29-06-2019,18,47,13
29-06-2019,19,35,25
29-06-2019,20,42,18
29-06-2019,21,43,17
29-06-2019,22,40,20
29-06-2019,23,40,20
30-06-2019,0,40,20
30-06-2019,1,45,15
30-06-2019,2,34,26
30-06-2019,3,24,36
30-06-2019,4,29,31
30-06-2019,5,24,36
30-06-2019,6,33,27
30-06-2019,7,26,34
30-06-2019,8,24,36
30-06-2019,9,23,37
30-06-2019,10,25,35
30-06-2019,11,26,34
30-06-2019,12,22,38
30-06-2019,13,31,29
30-06-2019,14,39,21
30-06-2019,15,37,23
30-06-2019,16,35,25
30-06-2019,17,44,16
30-06-2019,18,42,18
30-06-2019,19,39,21
30-06-2019,20,44,16
30-06-2019,21,35,25
30-06-2019,22,40,20
30-06-2019,23,44,16
