Date,Time,inttime,Comfort m/s,Acceptibly warm m/s,Mixed m/s,Temp,Rh,tw,TSI,PMV,PPD,Standrd Eff Temp,TA adj,Cool effect
02/06/2019,17:00,17,-1.0,1.6,3,34.071,61.442,27.655365268052037,30.024333231613223,1.5378663682746685,52.960383756655766,29.01698517816126,31.078797623893955,2.992202376106043
02/06/2019,18:00,18,-1.0,1.6,3,33.678000000000004,60.748999999999995,27.179512229958732,29.584985495880492,1.4506794284573976,48.22977755435411,28.789485385516777,30.730948880720106,2.9470511192798985
02/06/2019,19:00,19,3.0,0.6,3.0,33.313,59.301,26.587762470454663,29.13080156995324,1.3697381956251793,43.90599130536282,28.575293705339742,30.407761827075884,2.9052381729241192
02/06/2019,20:00,20,3.0,0.6,3.0,33.287,56.878,26.10359153851573,28.96230692291604,1.3637548795892587,43.59027060979006,28.558958471972225,30.3846004493635,2.9023995506364977
02/06/2019,21:00,21,3.0,0.6,3.0,33.235,58.495,26.367506293241433,29.004852667371562,1.3524080765264301,42.993273433505195,28.528994348522687,30.338659148266306,2.8963408517336937
02/06/2019,22:00,22,3.0,0.6,3.0,33.260999999999996,58.912,26.46902918835167,29.05549171906551,1.3581983234663482,43.29763046872708,28.544502265243302,30.361702355715707,2.8992976442842906
02/06/2019,23:00,23,3.0,0.6,3.0,32.949,58.167,26.057806040183493,28.696394989429717,1.28916037202452,39.71214737714721,28.359416312276025,30.085423120262558,2.8635768797374412
03/06/2019,00:00,0,3.0,0.6,3.0,32.794000000000004,58.461000000000006,25.979086860390908,28.556674482053605,1.2549556715919128,37.975036404195464,28.26707707305584,29.948195990313735,2.845804009686267
03/06/2019,01:00,1,3.0,0.6,3.0,32.975,58.233999999999995,26.09287321383863,28.726565678915502,1.2949104511158451,40.00689985693693,28.37490814452783,30.108446430916352,2.86655356908365
03/06/2019,02:00,2,3.0,0.6,3.0,32.949,58.675,26.153507899348938,28.725871162052673,1.2892076833669166,39.714569484817474,28.359623633070566,30.085450941054,2.8635490589459995
03/06/2019,03:00,3,3.0,0.6,3.0,32.872,58.917,26.132138497170615,28.66192438618175,1.272222167520918,38.8483762715415,28.31384622623715,30.01728713359639,2.854712866403609
03/06/2019,04:00,4,3.0,0.6,3.0,32.717,59.052,26.022804666280592,28.51277456626762,1.2380106472563324,37.125327513434755,28.221211247480007,29.880041114144586,2.8369588858554127
03/06/2019,05:00,5,1.59,0.09,1.59,32.458,58.918,25.77322798115233,29.014294299497433,1.1808504017038541,34.316967059051805,28.06526096697642,29.650648105884965,2.8073518941150337
03/06/2019,06:00,6,3.0,0.6,3.0,32.639,58.723,25.893725588818143,28.41490821040919,1.2207649537142493,36.268365549839714,28.174265688707706,29.81094813645598,2.8280518635440224
03/06/2019,07:00,7,1.59,0.09,1.59,32.458,60.402,26.047285753363894,29.098704093338593,1.1809834914009496,34.323396475507266,28.065832450436695,29.650720665642908,2.80727933435709
03/06/2019,08:00,8,1.59,0.09,1.59,32.175,61.553000000000004,26.00948092183711,28.87622520522834,1.118686345998164,31.37403676259447,27.89443856438976,29.400038294951376,2.7749617050486224
03/06/2019,09:00,9,1.59,0.09,1.59,32.433,59.894,25.931920416736716,29.044546569657424,1.1754241098208091,34.0552820980576,28.05052019819764,29.62855125883785,2.80444874116215
03/06/2019,10:00,10,3.0,0.6,3.0,32.794000000000004,59.06399999999999,26.09203570952843,28.591462727587963,1.2550111630481964,37.977831198214,28.267318753360307,29.94822786528844,2.845772134711563
03/06/2019,11:00,11,3.0,0.6,3.0,33.209,57.376999999999995,26.13213485788998,28.912988265283314,1.3465518782998487,42.68607817464404,28.513179951851505,30.31557504226513,2.893424957734871
