C,30,40,50,60,70,80,90
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,0,0,0,0,0,0.06,0.23
32,0,0,0,0.09,0.29,0.6,0.94
33,0,0.04,0.24,0.6,1.04,1.85,2.1
34,0.15,0.46,0.94,1.6,2.26,3.05,-1
35,0.68,1.36,2.1,3.05,-1,-1,-1
36,1.72,2.7,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,-1,-1
