C,30,40,50,60,70,80,90
28,0,0,0,0,0,0,0
29,0,0,0,0,0,1,1
30,0,0,0,1,1,1,1
31,0,1,1,1,1,1,1
32,1,1,1,1,1,1,2
33,1,1,1,1,2,2,2
34,1,2,2,2,2,2,3
35,1,2,2,2,3,3,3
36,2,2,3,3,3,3,3
