C,30,40,50,60,70,80,90
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0.06,0.19
30,0,0,0,0.06,0.24,0.53,0.83
31,0,0.06,0.24,0.53,1.04,1.47,2.1
32,0.2,0.46,0.94,1.59,2.26,3.04,-1
33,0.77,1.36,2.12,3,-1,-1,-1
34,1.85,2.72,-1,-1,-1,-1,-1
35,3.2,-1,-1,-1,-1,-1,-1
