Date,Time,inttime,Comfort m/s,Acceptibly warm m/s,Mixed m/s,Temp,Rh,tw,TSI,PMV,PPD,Standrd Eff Temp,TA adj,Cool effect
11/06/2019,12:00,12,-1.0,0.94,3,34.019,53.542,26.07329354273918,29.498315140216864,1.5255322697304385,52.28871193822373,28.983455160641675,31.032234802231308,2.986765197768689
11/06/2019,13:00,13,-1.0,0.94,3,34.281,51.793,25.939893562265866,29.652417946231086,1.5834663939562708,55.44507578130887,29.132648071795554,31.263889400418826,3.017110599581172
11/06/2019,14:00,14,-1.0,2.1,3,34.624,50.207,25.898445418150402,29.895186917843528,1.6594590839159686,59.5708850087258,29.32636474181965,31.567151537733444,3.0568484622665584
11/06/2019,15:00,15,-1.0,2.1,3,35.022,46.966,25.537063710954158,30.080391352027075,1.7476090146215364,64.28321400770852,29.547702653415744,31.918904587286224,3.103095412713775
11/06/2019,16:00,16,-1.0,2.1,3,35.422,45.553999999999995,25.552876567498288,30.383261711842675,1.8365201166259268,68.89056505982926,29.768096880295808,32.272490885757044,3.1495091142429548
11/06/2019,17:00,17,-1.0,-1.0,-1.0,35.904,46.973,26.25760661049145,,1.9441720332324905,74.17825908151737,30.031498716908455,32.6987082735262,3.2052917264738037
11/06/2019,18:00,18,-1.0,-1.0,-1.0,36.254,46.982,26.545061500217457,,2.0223499346238847,77.76156093576998,30.219633830063177,33.00806163827098,3.245938361729014
11/06/2019,19:00,19,-1.0,-1.0,-1.0,36.742,47.803999999999995,27.127649298795518,,2.131670895119463,82.33821750115628,30.478915580511558,33.4395905063101,3.3024094936898973
11/06/2019,20:00,20,-1.0,-1.0,-1.0,37.150999999999996,47.788000000000004,27.459833195212354,,2.223375410518079,85.74180860470334,30.692621825088757,33.8011687485118,3.3498312514881947
11/06/2019,21:00,21,-1.0,-1.0,-1.0,37.233000000000004,47.566,27.477101826651392,,2.241751034616256,86.37334896957043,30.734982752991655,33.87363236277257,3.3593676372274333
11/06/2019,22:00,22,-1.0,-1.0,-1.0,37.069,45.81399999999999,26.9442001280255,,2.20472147794815,85.08325547231978,30.648787152210716,33.72842951991452,3.3405704800854834
11/06/2019,23:00,23,-1.0,-1.0,-1.0,35.797,47.589,26.305644944619985,,1.9203658451294994,73.04148095205286,29.973890144145127,32.60419210048434,3.192807899515659
12/06/2019,00:00,0,-1.0,-1.0,-1.0,35.797,47.821000000000005,26.356580513890435,,1.9203929073236048,73.04278445628923,29.974017651178194,32.60421503535028,3.192784964649719
12/06/2019,01:00,1,-1.0,-1.0,-1.0,35.555,47.89,26.173019198702605,,1.8664304416146928,70.39583482526567,29.84223128969368,32.3903027127039,3.164697287296102
12/06/2019,02:00,2,-1.0,2.1,3,35.315,48.883,26.19000771396304,30.499783104953817,1.8130554600445914,67.69265711653958,29.710978748525985,32.178179824446595,3.136820175553403
12/06/2019,03:00,3,-1.0,2.1,3,34.942,50.706,26.26699400373957,30.245609882204985,1.7302181958729346,63.362782252487875,29.50501675428741,31.848467593445047,3.0935324065549525
12/06/2019,04:00,4,-1.0,2.1,3,34.704,52.435,26.42620923712599,30.117338174088,1.677476806957879,60.54247151543422,29.372519285714272,31.638094214869554,3.0659057851304468
12/06/2019,05:00,5,-1.0,2.1,3,34.519,53.676,26.52323163149032,30.009396071552214,1.636496699756477,58.32814951653276,29.268733293377995,31.47453537884881,3.044464621151189
12/06/2019,06:00,6,-1.0,0.94,3,34.308,54.713,26.55276616321487,29.861297707323384,1.5897593714085312,55.78781705746127,29.149417498974675,31.287983106010206,3.0200168939897956
12/06/2019,07:00,7,-1.0,1.6,3,34.124,55.781000000000006,26.607785605658535,29.741163695596025,1.5490464239633943,53.56950210651541,29.04477108114284,31.125294691072195,2.9987053089278075
12/06/2019,08:00,8,-1.0,1.6,3,33.835,56.382,26.478317671516095,29.485982571880154,1.4850313160218327,50.087704637329196,28.87861663032649,30.869611038598027,2.965388961401974
12/06/2019,09:00,9,-1.0,1.6,3,33.887,55.49100000000001,26.34801659184552,29.48458983934162,1.4964665474841736,50.708228705404686,28.90827381902825,30.915567454468135,2.9714325455318638
12/06/2019,10:00,10,-1.0,0.94,3,34.202,54.568999999999996,26.433841534021212,29.745698921531737,1.5662267189595769,54.50575275851621,29.08885493315188,31.194218270441826,3.007781729558171
12/06/2019,11:00,11,-1.0,0.94,3,34.413000000000004,52.623999999999995,26.22019407012465,29.837090502651595,1.6128459779627706,57.04405612594605,29.208136255045094,31.38069038127278,3.0323096187272216
12/06/2019,12:00,12,-1.0,2.1,3,34.571999999999996,52.157,26.258131348421216,29.96723018436693,1.6481114180313021,58.95731160274533,29.297966220550713,31.52130455324002,3.0506954467599723
12/06/2019,13:00,13,-1.0,2.1,3,35.022,50.093999999999994,26.20506400951291,30.286135443983174,1.7479519201083176,64.30130814671229,29.549296787183092,31.919170723096414,3.102829276903583
12/06/2019,14:00,14,-1.0,3.05,3,34.942,56.027,27.357444748598823,30.581468711621635,1.7307979644246665,63.39355199695173,29.507709162506412,31.848913745938706,3.0930862540612933
12/06/2019,15:00,15,-1.0,3.05,3,35.181999999999995,57.668,27.892418454421772,30.925040613015103,1.784409977954894,66.21186674305483,29.642052787277322,32.06133875697959,3.1206612430204066
12/06/2019,16:00,16,-1.0,-1.0,-1.0,35.876999999999995,50.827,27.072460959570208,,1.9385983229841415,73.9139077309493,30.019030581350805,32.67523030523618,3.201769694763817
12/06/2019,17:00,17,-1.0,-1.0,-1.0,36.281,48.542,26.912284982566064,,2.0285764461071465,78.03639181022459,30.2349586840152,33.03210186038297,3.248898139617025
12/06/2019,18:00,18,-1.0,-1.0,-1.0,36.824,50.818999999999996,27.861569726060168,,2.1504272500309387,83.0678931942156,30.52381823256384,33.51244536655727,3.3115546334427286
12/06/2019,19:00,19,-1.0,-1.0,-1.0,37.205999999999996,48.988,27.774760839120518,,2.2358764142177354,86.1733101487104,30.721890854659996,33.84994543859131,3.3560545614086834
12/06/2019,20:00,20,-1.0,-1.0,-1.0,37.453,48.787,27.933996814691454,,2.2913132588998018,87.99089762512813,30.84921440482475,34.068247193586636,3.38475280641337
12/06/2019,21:00,21,-1.0,-1.0,-1.0,37.453,48.422,27.851681631258714,,2.2912645203419983,87.98936876011929,30.848981277763254,34.068198358251855,3.3848016417481506
12/06/2019,22:00,22,-1.0,-1.0,-1.0,37.343,48.508,27.78027302053499,,2.266569988024618,87.19906485147686,30.79240818281235,33.97098310000101,3.3720168999989966
12/06/2019,23:00,23,-1.0,-1.0,-1.0,37.150999999999996,48.617,27.646503759133225,,2.2234834174300593,85.74557058748624,30.69313754859321,33.80127400917669,3.349725990823306
13/06/19,12:00:00,12,-1.0,-1.0,-1.0,36.96,49.023,27.57912718510238,,2.1806884076879043,84.20912087019872,30.593934039200647,33.632466039035265,3.327533960964734
13/06/19,01:00:00,1,-1.0,-1.0,-1.0,36.661,49.283,27.389147097261798,,2.113712206106427,81.6238483519086,30.437126733181135,33.36815235348292,3.2928476465170813
13/06/19,02:00:00,2,-1.0,-1.0,-1.0,36.361999999999995,49.97,27.291621731516898,,2.0468676362323635,78.83421585555472,30.278998690527132,33.10387412686081,3.258125873139184
13/06/19,03:00:00,3,-1.0,-1.0,-1.0,36.119,50.826,27.27395910001212,,1.9926425097616705,76.4282556266812,30.14950200638592,32.889142672349934,3.2298573276500675
13/06/19,04:00:00,4,-1.0,-1.0,-1.0,35.823,51.606,27.193066861548687,,1.9266368544221015,73.34286143694398,29.99020434110766,32.6275733259734,3.195426674026601
13/06/19,05:00:00,5,-1.0,-1.0,-1.0,35.501999999999995,52.217,27.05217447621021,,1.85510857953145,69.82904505505697,29.815533138889656,32.34384896379454,3.1581510362054512
13/06/19,06:00:00,6,-1.0,2.1,3,35.208,52.013999999999996,26.76253210613652,30.596405617743248,1.7895720849603207,66.4801190484697,29.65351534973464,32.08383530123371,3.124164698766285
13/06/19,07:00:00,7,-1.0,3.05,3,34.73,55.578,27.086052148170552,30.33993979068973,1.6835935028666866,60.87148416371632,29.38869639608355,31.661345653614184,3.0686543463858142
13/06/19,08:00:00,8,-1.0,1.6,3,34.071,61.568999999999996,27.679330180901957,30.031714424771,1.5378792847826257,52.96108734971744,29.01704396119574,31.078806537916922,2.9921934620830757
13/06/19,09:00:00,9,-1.0,1.6,3,34.308,61.068999999999996,27.793023971870696,30.243297112389374,1.5904177569582965,55.82366933530144,29.1524324070474,31.288450915417712,3.0195490845822874
13/06/19,10:00:00,10,-1.0,1.6,3,34.308,60.562,27.6963085197832,30.213508753146424,1.5903652302952462,55.82080905036301,29.152191792196344,31.28841356747686,3.0195864325231416
13/06/19,11:00:00,11,-1.0,1.6,3,34.44,56.597,27.040057303889853,30.10972337865127,1.6192553732953663,57.392385985164616,29.225366799468613,31.40486825421777,3.0351317457822264
13/06/19,12:00:00,24,-1.0,2.1,3,34.624,53.301,26.535932027435024,30.091532793503188,1.65978771998466,59.588636491902285,29.327880021029568,31.56739466762281,3.056605332377193
13/06/19,01:00:00,13,-1.0,2.1,3,34.836,51.769,26.399821898335176,30.207550873740434,1.7067550940859253,62.11301266680098,29.446284707290463,31.754800365883487,3.081199634116511
13/06/19,02:00:00,14,-1.0,3.05,3,35.181999999999995,55.126000000000005,27.381068877341647,30.767544943274427,1.7841275717677028,66.19717421911427,29.640734625083443,32.06111499032548,3.1208850096745144
13/06/19,03:00:00,15,-1.0,3.05,3,34.783,62.69,28.52029491642145,30.821171563311008,1.6961443110505552,61.54513293148747,29.422014525337232,31.708808378966488,3.074191621033513
13/06/19,04:00:00,16,-1.0,3.05,3,34.942,63.848,28.880877224630126,31.050685914239278,1.731650485731444,63.43878710581681,29.511671229422774,31.849570761331496,3.0924292386685037
13/06/19,05:00:00,17,-1.0,3.05,3,35.075,64.215,29.06905246924589,31.207728889580938,1.7613030669283591,65.00407587681977,29.586019260457146,31.967261434188092,3.10773856581191
13/06/19,06:00:00,18,-1.0,3.05,3,34.889,57.465,27.598861854661664,30.616340180288997,1.719161440078821,62.77491460701179,29.47881260579031,31.802151766309027,3.086848233690975
13/06/19,07:00:00,19,-1.0,3.05,3,34.995,57.672,27.731450578199883,30.736147507138764,1.7427729185728262,64.02779713072908,29.538116109492904,31.89593365072234,3.0990663492776562
