Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,iDampW2,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.35,W,W
06-01-2019 00:00,33.124,32.098,61.94,69.709,,,,,35.022,32.021,,,,,,-1.026,-3.001,,,,
06-01-2019 01:00,32.86,31.51,61.709,70.516,,,,,34.889,31.484,,,,,,-1.35,-3.405,,,,
06-01-2019 02:00,32.887,31.357,61.081,70.61,,,,,34.73,31.001,,,,,,-1.53,-3.729,,,,
06-01-2019 03:00,32.808,30.976,61.669,72.384,,,,,34.572,30.596,,,,,,-1.832,-3.976,,,,
06-01-2019 04:00,32.597,30.722,62.297,73.628,,,,,34.387,30.192,,,,,,-1.875,-4.195,,,,
06-01-2019 05:00,32.44,30.621,62.807,73.669,,,,,34.202,29.84,,,,,,-1.819,-4.362,,,,
06-01-2019 06:00,32.309,30.444,63.1,73.875,,,,,34.045,29.665,,,,,,-1.865,-4.38,,,,
06-01-2019 07:00,31.969,30.571,62.7,70.951,,,,,33.861,30.596,,,,,,-1.398,-3.265,,,,
06-01-2019 08:00,31.839,30.95,61.674,67.855,,,,,33.704,32.691,,,,,,-0.889,-1.013,,,,
06-01-2019 09:00,31.735,31.97,61.657,64.919,,,,,33.574,36.012,,,,,,0.235,2.438,,,,
06-01-2019 10:00,32.048,33.287,60.413,60.088,,,,,33.548,39.743,,,,,,1.239,6.195,,,,
06-01-2019 11:00,32.729,35.022,57.751,53.68,,,,,33.678,44.104,,,,,,2.293,10.426,,,,
06-01-2019 12:00,33.124,36.092,55.596,50.199,,,,,33.835,46.29,,,,,,2.968,12.455,,,,
06-01-2019 13:00,33.549,37.453,52.124,44.453,,,,,34.045,48.404,,,,,,3.904,14.359,,,,
06-01-2019 14:00,33.072,37.178,59.619,52.67,,,,,34.097,46.641,,,,,,4.106,12.544,,,,
06-01-2019 15:00,33.204,37.728,58.077,49.748,,,,,34.281,46.577,,,,,,4.524,12.296,,,,
06-01-2019 16:00,33.177,37.151,62.894,56.246,,,,,34.492,45.03,,,,,,3.974,10.538,,,,
06-01-2019 17:00,33.469,36.389,62.783,58.968,,,,,34.704,42.267,,,,,,2.92,7.563,,,,
06-01-2019 18:00,33.495,35.288,65.204,64.94,,,,,34.916,39.234,,,,,,1.793,4.318,,,,
