Date and Time,TA in,TA out,RH in,RH out,TWl-1 in,TWl-1 out,TWl-2 in,TWl-2 out,TRf in,TRf out,TG in,TG out,TW in,TW out,V in,iDampA,iDampW,Clo ,Wl-1Facing,Wl-2Facing
,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0.35,E,E
06-01-2019 00:00,31.74,32.098,71.498,69.709,32.098,,,,,,,,,,,0.358,,,,
06-01-2019 01:00,31.561,31.51,70.707,70.516,31.996,,,,,,,,,,,-0.025,,,,
06-01-2019 02:00,31.561,31.357,70.434,70.61,31.944,,,,,,,,,,,-0.204,,,,
06-01-2019 03:00,31.433,30.976,71.018,72.384,31.893,,,,,,,,,,,-0.432,,,,
06-01-2019 04:00,31.306,30.722,71.691,73.628,31.816,,,,,,,,,,,-0.482,,,,
06-01-2019 05:00,31.382,30.621,71.614,73.669,31.765,,,,,,,,,,,-0.736,,,,
06-01-2019 06:00,31.306,30.444,71.661,73.875,31.689,,,,,,,,,,,-0.964,,,,
06-01-2019 07:00,31.204,30.571,69.974,70.951,31.612,,,,,,,,,,,-0.633,,,,
06-01-2019 08:00,31.459,30.95,67.576,67.855,31.586,,,,,,,,,,,-0.687,,,,
06-01-2019 09:00,31.74,31.97,66.98,64.919,31.637,,,,,,,,,,,0,,,,
06-01-2019 10:00,32.175,33.287,65.17,60.088,31.765,,,,,,,,,,,0.88,,,,
06-01-2019 11:00,32.665,35.022,62.978,53.68,31.996,,,,,,,,,,,2.021,,,,
06-01-2019 12:00,33.053,36.092,60.558,50.199,32.253,,,,,,,,,,,2.727,,,,
06-01-2019 13:00,33.391,37.453,57.564,44.453,32.484,,,,,,,,,,,3.696,,,,
06-01-2019 14:00,33.391,37.178,63.471,52.67,32.639,,,,,,,,,,,3.526,,,,
06-01-2019 15:00,33.313,37.728,62.33,49.748,32.768,,,,,,,,,,,4.128,,,,
06-01-2019 16:00,33.001,37.151,68.152,56.246,32.768,,,,,,,,,,,3.968,,,,
06-01-2019 17:00,32.742,36.389,69.824,58.968,32.717,,,,,,,,,,,3.543,,,,
06-01-2019 18:00,32.433,35.288,73.411,64.94,32.613,,,,,,,,,,,2.778,,,,
06-01-2019 19:00,32.355,34.387,73.818,66.784,32.587,,,,,,,,,,,1.877,,,,
06-01-2019 20:00,32.304,34.176,74.47,68.018,32.562,,,,,,,,,,,1.666,,,,
06-01-2019 21:00,32.381,33.783,74.785,69.673,32.587,,,,,,,,,,,1.144,,,,
06-01-2019 22:00,32.227,33.105,71.011,67.215,32.51,,,,,,,,,,,0.672,,,,
06-01-2019 23:00,32.175,32.433,71.305,70.013,32.458,,,,,,,,,,,0.155,,,,
06-02-2019 00:00,31.996,31.868,72.484,73.124,32.407,,,,,,,,,,,-0.256,,,,
06-02-2019 01:00,31.816,31.586,73.084,73.883,32.304,,,,,,,,,,,-0.384,,,,
06-02-2019 02:00,31.714,31.128,72.824,74.604,32.201,,,,,,,,,,,-0.663,,,,
06-02-2019 03:00,31.663,30.874,72.331,74.615,32.124,,,,,,,,,,,-0.917,,,,
06-02-2019 04:00,31.561,30.646,72.222,75.167,32.021,,,,,,,,,,,-1.043,,,,
06-02-2019 05:00,31.484,30.293,72.268,76.317,31.919,,,,,,,,,,,-1.268,,,,
06-02-2019 06:00,31.357,30.091,72.515,76.898,31.816,,,,,,,,,,,-1.419,,,,
06-02-2019 07:00,31.331,30.091,73.113,77.371,31.74,,,,,,,,,,,-1.317,,,,
06-02-2019 08:00,31.586,30.621,73.01,75.698,31.714,,,,,,,,,,,-0.991,,,,
