date and time,TPI_wall1,TPI_wall2,TPI_roof,Depreciation_factor,Damping_Percentage,Max_Damping_day,Max_Damping_night,Time_lag_day,Time_lag_night
02/06/2019,nan,nan,56.26750000000002,0.31710156174216686,68.28984382578331,5.722999999999999,1.3170000000000037,0,0
03/06/2019,nan,nan,55.059999999999974,0.1846055979643766,81.53944020356234,4.074000000000005,2.3349999999999973,-4,0
04/06/2019,nan,nan,54.74950000000005,0.1715998501311356,82.84001498688644,4.797999999999995,1.8350000000000009,0,0
05/06/2019,nan,nan,52.63349999999999,0.13011063011062973,86.98893698893703,3.932000000000002,3.302000000000003,-1,0
06/06/2019,nan,nan,46.59600000000001,0.12871432774345393,87.1285672256546,3.9710000000000036,1.9519999999999982,0,0
07/06/2019,nan,nan,45.40000000000001,0.21932974266906005,78.067025733094,3.8500000000000014,1.368000000000002,-2,0
08/06/2019,nan,nan,48.700500000000005,0.2676447704790492,73.23552295209508,4.766999999999996,1.8219999999999956,0,0
09/06/2019,nan,nan,57.48649999999996,0.33294775400038545,66.70522459996145,5.278000000000006,1.6419999999999995,2,0
10/06/2019,nan,nan,59.004500000000014,0.32706338349293224,67.29366165070678,4.1229999999999976,1.7799999999999976,1,0
11/06/2019,nan,nan,67.27299999999995,0.349666411462321,65.0333588537679,3.7590000000000003,2.187000000000001,0,0
12/06/2019,nan,nan,71.58549999999995,0.2680070963926669,73.19929036073331,3.955999999999996,2.233000000000004,1,0
13/06/19,nan,nan,71.89600000000004,0.3889974293059132,61.100257069408684,3.6699999999999946,2.2719999999999985,0,0
14/06/19,nan,nan,55.359000000000016,0.25910497500595076,74.08950249940493,3.298000000000002,2.927000000000003,0,0
15/06/19,nan,nan,57.17600000000002,0.3279238947957474,67.20761052042525,3.3759999999999977,1.4279999999999973,0,0
16/06/19,nan,nan,55.657999999999966,0.30201884253028277,69.79811574697172,3.6030000000000015,1.5829999999999949,0,0
17/06/19,nan,nan,61.14350000000001,0.3275908119658114,67.24091880341886,3.8590000000000018,1.176000000000002,0,0
18/06/19,nan,nan,60.53399999999996,0.2893795677188622,71.06204322811378,2.6980000000000004,1.8719999999999999,0,0
19/06/19,nan,nan,53.84100000000004,0.26793703396851637,73.20629660314837,2.298000000000002,2.1200000000000045,0,0
20/06/19,nan,nan,62.0635,0.3227437759336095,67.72562240663905,3.7120000000000033,1.5110000000000028,0,0
21/06/19,nan,nan,59.004500000000014,0.24730951356005182,75.26904864399482,1.6739999999999995,1.8230000000000004,0,0
22/06/19,nan,nan,62.36250000000003,0.34846113719353106,65.15388628064689,3.183000000000007,1.8129999999999988,0,0
23/06/19,nan,nan,62.672999999999966,0.2815356489945162,71.84643510054838,1.8669999999999973,1.6699999999999982,-3,0
24/06/19,nan,nan,55.059999999999974,0.4750782566819166,52.492174331808336,0.5450000000000017,1.6350000000000016,-13,0
25/06/19,nan,nan,32.56600000000002,0.2332749562171631,76.67250437828369,2.114999999999995,2.2630000000000017,-2,0
26/06/19,nan,nan,29.311500000000006,0.26364436619718257,73.63556338028174,1.7620000000000005,1.5839999999999996,-1,0
