date and time,TPI_wall1,TPI_wall2,TPI_roof,Depreciation_factor,Damping_Percentage,Max_Damping_day,Max_Damping_night,Time_lag_day,Time_lag_night
08/06/2019,65.33749999999996,61.831250000000004,nan,0.24908302767589202,75.09169723241081,4.292999999999999,2.4629999999999974,0,0
09/06/2019,80.82500000000005,79.54062499999998,nan,0.3480817428185851,65.19182571814149,3.9410000000000025,2.821999999999999,5,0
10/06/2019,73.925,71.89062500000001,nan,0.32774737802097603,67.2252621979024,3.2149999999999963,2.6819999999999986,2,0
11/06/2019,89.88124999999998,89.09375000000003,nan,0.44580553428852737,55.419446571147255,2.0009999999999977,3.065999999999999,5,0
12/06/2019,90.14374999999995,89.88124999999998,nan,0.42791247782377323,57.208752217622674,1.9779999999999944,2.8590000000000018,4,0
13/06/19,82.10937499999997,83.65625000000003,nan,0.29706940874036025,70.29305912596398,2.104999999999997,4.730999999999998,-2,0
14/06/19,70.11875,66.34062500000002,nan,0.24851225898595486,75.14877410140451,2.771000000000008,3.543000000000003,5,0
15/06/19,77.49687499999999,73.16562499999998,nan,0.3123950755456069,68.76049244543931,2.713000000000001,2.201999999999998,8,0
16/06/19,80.05624999999996,77.49687499999999,nan,0.2978465679676988,70.21534320323012,2.8059999999999974,2.410999999999998,8,0
17/06/19,74.43125,73.16562499999998,nan,0.281784188034188,71.82158119658119,3.1409999999999982,2.237000000000002,5,0
18/06/19,66.84687499999997,65.834375,nan,0.3103716373814338,68.96283626185662,2.433,2.0020000000000024,3,0
19/06/19,59.58124999999998,58.090624999999996,nan,0.23446561723280834,76.55343827671916,2.034000000000006,2.5859999999999985,-1,0
20/06/19,76.72812499999999,76.21249999999999,nan,0.3584024896265553,64.15975103734446,3.1780000000000044,1.7700000000000031,5,0
21/06/19,65.834375,66.34062500000002,nan,0.33943176926388247,66.05682307361175,0.9080000000000013,2.1610000000000014,-4,0
22/06/19,72.91250000000002,70.62500000000003,nan,0.40414710485133054,59.58528951486694,2.7560000000000002,1.8129999999999988,4,0
23/06/19,74.17812500000001,71.13124999999998,nan,0.30367661994718625,69.63233800528137,1.5499999999999972,1.8780000000000037,1,0
24/06/19,57.09687499999998,57.837499999999984,nan,0.38646761377317645,61.35323862268236,-0.23499999999999943,2.7830000000000013,-14,0
25/06/19,44.29062499999998,43.80312499999999,nan,0.2786339754816115,72.13660245183885,1.7789999999999964,2.34,5,0
26/06/19,41.853125000000006,40.87812500000001,nan,0.3272447183098598,67.27552816901402,1.0409999999999968,2.0159999999999982,3,0
