Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
01/06/2019,33.391,13,31.204,07,32.17908333333333,37.728,15,30.444000000000003,06,33.52879166666667,74.785,21,57.56399999999999,13,68.83333333333333,73.875,06,44.453,13,64.20045833333334,32.768,15,31.586,08,32.197624999999995,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.128,15,-0.9640000000000001,06,1.2073333333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
02/06/2019,34.466,16,31.331,07,32.57033333333333,40.4,16,30.090999999999998,06,33.743,73.113,07,54.315,16,65.36033333333333,77.37100000000001,07,39.619,16,61.689249999999994,33.365,16,31.714000000000002,08,32.47941666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.377999999999999,16,-1.419,06,0.9365,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
03/06/2019,33.495,13,31.791,07,32.36454166666667,37.7,16,29.84,06,33.25125,78.7,19,56.335,12,65.209,73.536,23,47.99,12,61.87745833333333,32.82,16,32.098,07,32.44049999999999,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.283,16,-2.49,06,0.5500833333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
04/06/2019,33.495,15,31.561,07,32.4005,38.476,15,30.469,06,33.868249999999996,75.604,22,59.562,11,69.55466666666666,77.014,05,49.545,15,64.57804166666666,33.053000000000004,15,32.021,08,32.49766666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.558,16,-1.5519999999999998,06,1.1438333333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
05/06/2019,32.794000000000004,14,31.408,05,31.995749999999997,36.933,15,28.616999999999997,06,32.48354166666667,76.985,20,62.769,11,69.572625,80.21600000000001,05,54.691,15,67.63820833333334,32.484,00,31.893,08,32.20654166666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.288,16,-3.2319999999999998,02,0.222625,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
06/06/2019,32.742,14,31.153000000000002,06,31.756041666666665,36.688,14,29.89,05,33.02791666666667,77.96,23,65.378,10,70.80300000000001,74.38,23,56.86,13,66.02658333333333,32.304,14,31.561,08,31.908375000000003,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.075,15,-1.85,05,0.9957083333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
07/06/2019,32.768,12,31.000999999999998,07,31.767833333333332,36.851,15,30.166999999999998,06,32.892041666666664,79.304,17,68.641,11,75.07904166666667,81.56,07,59.001000000000005,14,70.98979166666668,32.201,15,31.305999999999997,07,31.749583333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.206,16,-1.215,06,0.9180833333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
08/06/2019,33.94,14,31.128,07,32.09879166666666,38.812,14,29.815,07,33.28308333333333,76.365,20,52.93899999999999,13,69.11483333333332,79.684,06,41.848,13,65.214375,32.665,15,31.381999999999998,07,31.950708333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.504,14,-1.495,05,1.0028333333333332,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,34.650999999999996,16,31.103,06,32.64366666666667,40.114000000000004,15,29.74,06,34.20195833333333,73.10600000000001,01,50.864,16,64.03004166666666,74.294,01,37.851,16,59.408416666666675,33.574,17,31.408,07,32.41020833333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.092,15,-1.413,06,1.3309166666666665,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,34.519,17,31.663,07,33.05279166666667,39.065,16,30.293000000000003,06,34.126375,63.315,01,47.763000000000005,17,56.435249999999996,65.008,07,37.489000000000004,17,52.59845833333333,33.652,18,32.15,08,32.920833333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.483,16,-1.4980000000000002,06,0.6278750000000001,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
