Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),iDampW2(max),iDampW2(maxtime),iDampW2(min),iDampW2(mintime),iDampW2(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
02/06/2019,34.677,16,31.408,07,32.84966666666667,40.4,16,30.090999999999998,06,33.743,72.27199999999999,08,53.795,16,64.16054166666667,77.37100000000001,07,39.619,16,61.689249999999994,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.545,22,32.484,09,33.53808333333333,46.385,14,28.941,06,35.57145833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.749,15,-1.8019999999999998,06,0.8933333333333332,12.785,14,-4.06,06,2.033375,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
03/06/2019,33.626,12,32.175,08,32.907125,37.7,16,29.84,06,33.25125,74.274,19,55.261,12,62.88075,73.536,23,47.99,12,61.87745833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.44,00,33.157,09,33.7945,45.467,13,29.165,06,35.03025,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.205,16,-2.799,06,0.344125,11.919,13,-4.712,03,1.2357500000000001,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
04/06/2019,33.678000000000004,15,32.304,08,32.96970833333333,38.476,15,30.469,06,33.868249999999996,70.67699999999999,00,59.961999999999996,11,67.04924999999999,77.014,05,49.545,15,64.57804166666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.413000000000004,22,33.079,09,33.734625,45.467,14,28.791,06,35.457166666666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.798,15,-2.093,06,0.8985416666666667,12.024000000000001,14,-4.783,06,1.7225416666666664,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
05/06/2019,33.001,14,31.919,05,32.4375,36.933,15,28.616999999999997,06,32.48354166666667,74.069,20,61.65,11,67.4965,80.21600000000001,05,54.691,15,67.63820833333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.229,00,33.001,09,33.4395,43.92100000000001,14,28.468000000000004,06,34.83829166666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.056,16,-3.591,03,0.04604166666666674,10.79,14,-4.897,06,1.3987916666666667,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
06/06/2019,32.717,14,31.842,08,32.28275,36.688,14,29.89,05,33.02791666666667,74.044,23,63.481,01,68.22691666666667,74.38,23,56.86,13,66.02658333333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,33.704,00,32.639,10,33.141625,44.658,14,27.875,06,34.577125,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.126,15,-2.311,05,0.7451666666666666,11.89,14,-5.256,06,1.4355,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
07/06/2019,33.001,13,31.535,07,32.23954166666667,36.851,15,30.166999999999998,06,32.892041666666664,76.873,17,67.36399999999999,11,72.71654166666666,81.56,07,59.001000000000005,14,70.98979166666668,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,33.6,00,32.536,08,33.083999999999996,43.586000000000006,14,28.444000000000003,06,34.36033333333334,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.9789999999999996,15,-1.5730000000000002,06,0.6525,10.687999999999999,14,-4.428,06,1.2763333333333333,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
08/06/2019,34.045,14,31.636999999999997,07,32.55554166666666,38.812,14,29.815,07,33.28308333333333,73.32,20,52.88399999999999,13,67.2205,79.684,06,41.848,13,65.214375,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,33.887,21,32.433,09,33.21866666666667,47.06,14,27.974,06,34.9965,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.7669999999999995,14,-2.003,06,0.7275416666666666,13.539000000000001,14,-4.846,06,1.7778333333333334,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
09/06/2019,34.836,17,31.381999999999998,07,32.958,40.114000000000004,15,29.74,06,34.20195833333333,70.922,01,50.427,16,62.59908333333334,74.294,01,37.851,16,59.408416666666675,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.650999999999996,22,32.433,08,33.57058333333333,46.738,15,28.766,06,36.00545833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,5.516,15,-1.744,06,1.2439583333333333,12.823,14,-3.9760000000000004,06,2.434875,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
10/06/2019,34.942,17,32.073,07,33.436,39.065,16,30.293000000000003,06,34.126375,60.913000000000004,01,45.763999999999996,17,54.93845833333334,65.008,07,37.489000000000004,17,52.59845833333333,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,34.783,22,32.949,09,34.003499999999995,43.86,15,28.840999999999998,06,35.623125,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.308,16,-1.96,06,0.690375,10.125,14,-4.785,06,1.6196249999999999,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
11/06/2019,35.475,16,32.278,07,33.85875,39.234,16,30.090999999999998,06,34.51329166666667,57.68899999999999,08,43.526,16,50.73670833333333,63.924,07,35.376999999999995,16,48.87129166666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,35.501999999999995,21,33.260999999999996,08,34.357499999999995,45.75,14,29.29,06,36.56816666666666,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,3.991,15,-2.2640000000000002,06,0.6545416666666667,11.574000000000002,14,-4.388,06,2.2106666666666666,0.0,00,0.0,00,0.0,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
