Date and Time,TA in(max),TA in(maxtime),TA in(min),TA in(mintime),TA in(mean),TA out(max),TA out(maxtime),TA out(min),TA out(mintime),TA out(mean),RH in(max),RH in(maxtime),RH in(min),RH in(mintime),RH in(mean),RH out(max),RH out(maxtime),RH out(min),RH out(mintime),RH out(mean),TWl-1 in(max),TWl-1 in(maxtime),TWl-1 in(min),TWl-1 in(mintime),TWl-1 in(mean),TWl-1 out(max),TWl-1 out(maxtime),TWl-1 out(min),TWl-1 out(mintime),TWl-1 out(mean),TWl-2 in(max),TWl-2 in(maxtime),TWl-2 in(min),TWl-2 in(mintime),TWl-2 in(mean),TWl-2 out(max),TWl-2 out(maxtime),TWl-2 out(min),TWl-2 out(mintime),TWl-2 out(mean),TRf in(max),TRf in(maxtime),TRf in(min),TRf in(mintime),TRf in(mean),TRf out(max),TRf out(maxtime),TRf out(min),TRf out(mintime),TRf out(mean),TG in(max),TG in(maxtime),TG in(min),TG in(mintime),TG in(mean),TG out(max),TG out(maxtime),TG out(min),TG out(mintime),TG out(mean),TW in(max),TW in(maxtime),TW in(min),TW in(mintime),TW in(mean),TW out(max),TW out(maxtime),TW out(min),TW out(mintime),TW out(mean),V in(max),V in(maxtime),V in(min),V in(mintime),V in(mean),iDampA(max),iDampA(maxtime),iDampA(min),iDampA(mintime),iDampA(mean),iDampW(max),iDampW(maxtime),iDampW(min),iDampW(mintime),iDampW(mean),Clo (max),Clo (maxtime),Clo (min),Clo (mintime),Clo (mean),Wl-1Facing(max),Wl-1Facing(maxtime),Wl-1Facing(min),Wl-1Facing(mintime),Wl-1Facing(mean),Wl-2Facing(max),Wl-2Facing(maxtime),Wl-2Facing(min),Wl-2Facing(mintime),Wl-2Facing(mean)
11/06/2019,35.155,16,31.612,07,33.31133333333333,39.234,16,30.090999999999998,06,34.51329166666667,61.526,07,45.722,16,53.96754166666667,63.924,07,35.376999999999995,16,48.87129166666667,33.966,18,32.021,07,32.9835,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.099,14,-1.649,06,1.2019583333333335,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
12/06/2019,35.368,17,32.253,07,33.6735,39.431,16,30.976,07,34.85391666666667,61.0,07,48.725,17,55.55591666666667,62.82899999999999,07,37.97,17,50.46420833333334,34.492,17,32.665,08,33.493875,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,4.335,15,-1.4569999999999999,05,1.1804166666666667,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan,nan,00,nan,00,nan
13/06/19,35.128,14,30.646,22,32.941291666666665,39.065,14,29.34,22,33.39362499999999,70.703,21,51.063,13,60.797,71.237,22,41.036,13,57.729499999999994,34.019,14,31.919,23,33.18354166666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.937,14,-1.7630000000000001,06,0.4523333333333333,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
14/06/19,33.809,15,30.824,01,32.05020833333333,37.343,16,28.941,06,32.45295833333333,76.142,21,54.71,14,67.26929166666666,76.875,06,45.538000000000004,14,64.55320833333333,32.768,16,31.204,07,31.92125,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.613,16,-2.06,06,0.40275,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
15/06/19,34.492,14,31.459,06,32.55083333333334,37.921,14,30.773000000000003,07,33.72570833333334,76.718,20,48.55,14,65.35816666666666,69.741,20,37.625,14,60.07004166666667,33.131,14,31.636999999999997,07,32.352291666666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.429,14,-0.737,05,1.1748750000000001,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
16/06/19,34.704,14,31.586,06,32.629625,38.254,14,30.824,07,33.835625,73.557,21,50.81100000000001,13,65.52175,69.895,21,40.622,13,60.52858333333333,33.313,15,31.816,07,32.489749999999994,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.55,14,-0.7879999999999999,07,1.2060000000000002,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
17/06/19,34.677,15,31.714000000000002,06,32.84645833333334,38.616,15,31.128,07,34.252625,74.179,23,41.595,15,61.462291666666665,70.812,01,30.493000000000002,15,55.84033333333334,33.521,16,31.919,07,32.656666666666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.9389999999999996,15,-0.612,07,1.4061666666666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
18/06/19,34.176,16,31.97,06,32.836708333333334,37.508,16,31.076999999999998,07,33.8235,72.21,21,48.483999999999995,14,63.56616666666667,69.75399999999999,04,38.986,14,59.062333333333335,33.339,16,32.201,07,32.748375,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.332,16,-0.893,07,0.9867916666666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
19/06/19,34.334,13,31.842,06,32.72358333333333,36.606,13,30.570999999999998,06,33.428333333333335,74.61399999999999,17,49.817,24,63.069916666666664,70.072,17,40.838,24,59.217958333333335,33.260999999999996,14,32.15,07,32.665416666666665,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.4859999999999998,16,-1.271,06,0.7047500000000001,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
20/06/19,35.315,16,31.944000000000003,06,33.12441666666667,38.84,16,31.128,06,34.326375,72.16199999999999,22,45.675,16,60.47816666666666,67.73100000000001,02,35.650999999999996,16,55.23075,34.045,16,32.098,08,32.894625,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.525,16,-0.816,06,1.2019583333333335,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
21/06/19,33.6,16,32.304,07,32.833875,35.85,16,31.204,06,33.442166666666665,73.063,23,48.202,15,59.391333333333336,72.22,23,40.812,15,55.70037500000001,33.131,12,32.51,08,32.848125,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.25,16,-1.126,06,0.6082916666666667,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
22/06/19,34.889,16,31.919,07,33.12370833333333,38.365,16,30.697,06,34.120583333333336,72.545,12,43.955,15,56.46633333333333,71.311,12,34.658,15,51.99170833333333,33.757,16,32.15,07,32.91791666666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,3.4760000000000004,16,-1.247,06,0.9968750000000001,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
23/06/19,34.097,13,31.663,22,32.71579166666667,36.254,16,31.331,08,33.41504166666667,79.661,23,52.224,13,64.11883333333333,79.88,23,43.538000000000004,13,60.60908333333333,33.235,13,32.381,23,32.80854166666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.7060000000000004,16,-0.8440000000000001,08,0.6992500000000001,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
24/06/19,32.227,15,30.773000000000003,23,31.49458333333334,33.443000000000005,15,29.29,07,31.099541666666667,78.983,20,67.672,22,74.60208333333333,83.76100000000001,12,65.475,15,74.56616666666667,32.15,12,31.204,23,31.68454166666666,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,1.216,15,-1.9140000000000001,07,-0.3950416666666667,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
25/06/19,32.458,13,30.596,03,31.293125000000003,34.650999999999996,15,28.941,07,31.354,78.221,20,57.012,13,70.7465,79.57,07,47.523,13,68.90558333333333,31.714000000000002,16,30.773000000000003,07,31.204791666666665,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,2.3209999999999997,15,-1.705,07,0.06087499999999996,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
26/06/19,31.97,15,30.495,06,31.120833333333334,33.809,16,29.265,06,31.326333333333334,79.08,20,61.614,15,70.53166666666665,77.404,23,54.317,15,68.47949999999999,31.535,16,30.721999999999998,08,31.123124999999998,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,1.89,16,-1.256,05,0.20550000000000002,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan,nan,12,nan,12,nan
